travel_id,travel_dt,travel_distance,actual_amount,MilesByState,adjusted_amount
722887-202602-6-10996302-249260-20260123,1/23/2026,57.96,17.39,32.9492231940763,15.904352154263815
722887-202602-6-10996540-253592-20260122,1/22/2026,572.52,171.76,471.6873692391339,169.5421803577906
722887-202603-6-10989500-234105-20260116,1/16/2026,377.87,264.51,339.4153303445407,101.8245991033622
722887-202603-6-10989500-234105-20260120,1/20/2026,1.93,1.35,1.329751710338984,0.9308261972372888
722887-202603-6-10989500-237703-20260118,1/18/2026,126.93,88.85,105.70536527480132,31.711609582440396
722887-202603-6-10997065-254702-20260119,1/19/2026,567.83,170.35,505.55200865192137,183.1183165668871
723056-202603-6-7460654-206877-20260123,1/23/2026,241.19,72.36,184.532390887372,84.15625988426295
723159-202603-6-10495090-252048-20260123,1/23/2026,6.46,4.52,0,0
723159-202603-6-10495919-252048-20260120,1/20/2026,30.35,21.25,43.2019460901298,25.89813760758617
723159-202603-6-10495919-252048-20260121,1/21/2026,3.62,2.53,2.9648741514464274,2.075411906012499
723159-202603-6-10497845-243063-20260123,1/23/2026,239.98,167.99,285.6703597377577,160.17419217427573
723159-202603-6-10497845-244892-20260123,1/23/2026,236.27,165.39,284.1748248555592,159.16481623562782
723159-202603-6-10498098-252048-20260124,1/24/2026,6.76,4.73,0,0
723159-202603-6-10498270-243063-20260122,1/22/2026,21.36,14.95,5.5823605573816195,3.9076523901671334
723159-202603-6-10498270-244892-20260122,1/22/2026,21.39,14.97,5.5843160052072065,3.9090212036450445
723159-202604-6-10493822-238746-20260125,1/25/2026,315.09,220.56,247.20342514372146,81.46881032216487
723159-202604-6-10493822-238746-20260126,1/26/2026,0.56,0.39,0,0
723159-202604-6-10493822-250887-20260126,1/26/2026,315.1,220.57,247.21358585038627,81.47493468141961
723159-202604-6-10495737-252048-20260127,1/27/2026,38.01,26.61,13.190056512107226,9.233039558475058
723159-202604-6-10497721-243063-20260127,1/27/2026,71.67,50.17,36.34584738360333,18.61401668582984
723159-202604-6-10497721-244892-20260127,1/27/2026,41,28.7,5.426847332666284,3.7987931328663986
723160-202603-6-10494381-238746-20260118,1/18/2026,362.73,108.82,303.7195176080906,91.11585528242716
723160-202603-6-10494381-250887-20260118,1/18/2026,370.79,111.24,303.6959621608616,91.10878864825847
723223-202601-6-10515517-196157-20260118,1/18/2026,970,679,913.157747805852,372.5706171822525
723223-202601-6-10515517-252633-20260118,1/18/2026,458.46,320.92,490.0274909646223,279.43528978551893
723223-202601-6-10515517-256804-20260118,1/18/2026,156.75,109.73,161.35476476993577,52.50552996203935
723223-202601-6-10515539-238801-20260118,1/18/2026,321.59,225.11,267.5289807820657,149.72308777785952
723223-202601-6-10515539-246930-20260117,1/17/2026,460.2,322.14,404.36662055986125,213.74189667380097
723223-202601-6-10515539-250129-20260123,1/23/2026,449.1,314.37,398.8229461574948,123.51441948632585
723223-202601-6-10515539-251673-20260124,1/24/2026,456.37,319.46,397.9220646077407,154.94078916745107
723223-202601-6-10515539-253666-20260118,1/18/2026,290.36,203.25,318.1701247901514,110.87487325642029
723223-202601-6-10515539-253802-20260118,1/18/2026,290.32,203.22,311.1140781776485,105.94352457558674
723283-202545-6-9192170-205941-20260116,1/16/2026,165.79,116.05,124.98050828536904,59.518878463318714
723283-202545-6-9192170-227756-20260116,1/16/2026,691.36,483.95,525.736907265749,246.80878414167387
723283-202545-6-9192170-252039-20260116,1/16/2026,333.65,233.56,282.9041447949216,198.0329013564451
723283-202545-6-9192170-252039-20260117,1/17/2026,197.25,138.08,162.55653860629707,97.76716008442966
723287-202603-6-9188129-196376-20260117,1/17/2026,548.94,384.26,476.34385834755096,142.90315750426527
723287-202603-6-9188129-247884-20260117,1/17/2026,177.85,124.5,143.00955650239817,100.10668955167871
723287-202603-6-9188129-247884-20260118,1/18/2026,4.87,3.41,4.231274561976108,2.961892193383276
723287-202603-6-9188129-251448-20260117,1/17/2026,321.45,225.02,249.88513589042373,155.409319462109
723287-202603-6-9188129-251448-20260118,1/18/2026,5.05,3.54,4.320317346353801,3.0242221424476603
723287-202603-6-9188129-251851-20260118,1/18/2026,284.51,199.16,210.0020976904454,147.00146838331176
723287-202603-6-9188129-253075-20260117,1/17/2026,179.43,125.6,125.16725825475609,87.61708077832925
723287-202603-6-9188129-253075-20260118,1/18/2026,4.87,3.41,4.234206381636699,2.963944467145689
723287-202603-6-9188129-258926-20260118,1/18/2026,32.87,23.01,18.352539182250403,12.846777427575281
723287-202603-6-9188129-258926-20260119,1/19/2026,33.45,23.42,19.54407862613776,13.680855038296432
723287-202603-6-9188129-258962-20260118,1/18/2026,7.63,5.34,1.1788763703604026,0.8252134592522817
723287-202603-6-9188129-258962-20260122,1/22/2026,7.48,5.24,1.2435620633055084,0.8704934443138559
723287-202603-6-9188129-258997-20260118,1/18/2026,284.92,199.44,210.389704678391,147.2727932748737
